Layer,Source Name,Type,Region,Domain,URL / Access Point,Alt Feed / RSS (if any),Speed,Trust Level,Paid / Free,Scraper Required,Notes (what to pull),Example Output: Intel Drop,Example Output: Analysis Follow-up
L1,US CENTCOM (Press),Command,MENA,Operations,https://www.centcom.mil/MEDIA/NEWS-ARTICLES/,,Medium,High,Free,Light,Ops releases,"""CENTCOM intercepts UAVs over maritime corridor.""","""Check NAVTEX notices; route adjustments."""
L1,US AFRICOM (Press),Command,Africa,Operations,https://www.africom.mil/media-room/pressrelease,,Medium,High,Free,Light,Ops ; partner training,"""AFRICOM trains partner in C-UAS.""","""Capability transfer; track equipment flow."""
L1,US SOUTHCOM (Press),Command,Americas,Operations,https://www.southcom.mil/News/,,Medium,High,Free,Light,Ops ; exercises,"""SOUTHCOM joint exercise announced.""","""ISR coverage shifts; maritime patrol tempo."""
L0,Open-Source Intel on Telegram: Rybar,Telegram,Europe,OSINT,https://t.me/rybar,,Fast,Low,Free,Yes,High-volume ; heavy bias—use for early signal only,"""Rybar reports strike near N.""","""Treat as low-trust L0; require cross-verification."""
L0,Intel Slava Z,Telegram,Europe,OSINT,https://t.me/intelslava,,Fast,Low,Free,Yes,Pro-Kremlin aggregation—handle with caution,"""Channel claims capture of village X.""","""Low trust; hold until independent confirmation."""
L0,Mil Chronicles,Telegram,Europe,OSINT,https://t.me/milchronicles,,Fast,Low,Free,Yes,Clips ; frontline claims,"""Chronicles posts EW footage.""","""Likely old clip; use reverse image tools."""
L0,Arab Defense Industry News,Telegram,MENA,Industry,https://t.me/arabdefenseindustry,,Fast,Medium,Free,Yes,Regional industry updates,"""Deal signed for UAV assembly.""","""Check SSB/EDGE press for confirmations."""
L0,Ukraine Military Live,Telegram,Europe,Ops Updates,https://t.me/militaryLiveUA,,Fast,Medium,Free,Yes,Ops summaries,"""Air defense engaged drones near Odesa.""","""Cross with official UA MOD + local media."""
L0,OSINT Industries (Discord),Discord,Global,OSINT Collab,https://discord.gg/,,Medium,Medium,Free,Yes,Use your private invite; channel links for event threads,"""Analyst posts ADS-B anomaly logs.""","""Spin into short post; request secondary proof."""
L0,GeoFS OSINT Discord,Discord,Global,Aviation,https://discord.gg/,,Medium,Medium,Free,Yes,Community flight tracking,"""Members track ISR orbits over region T.""","""Aggregate into daily orbit map."""
L0,Sat Intelligence Discord,Discord,Global,Imagery,https://discord.gg/,,Medium,Medium,Free,Yes,Community imagery tasks,"""SAR pass reveals movement at depot D.""","""Cue follow-on optical task."""
L1,Turkey SSB Newsroom,Agency,MENA/Europe,Industry,https://www.ssb.gov.tr/Website/contentlist.aspx?PageID=30,,Medium,High,Free,Light,Press ; programs,"""SSB: HİSAR deliveries updated.""","""Air defense coverage densifies; export outlook."""
L1,EDGE Group (UAE) Press,Industry,MENA,Defense Industry,https://edgegroup.ae/news,,Medium,High,Free,Light,Press ; contracts,"""EDGE announces C-UAS export.""","""Regional demand surge; track end-users."""
L1,Baykar Press,Industry,MENA,Defense Industry,https://baykartech.com/en/press-room/press-releases/,,Medium,High,Free,Light,UAV programs; deliveries,"""Baykar ships TB2 batch to L.""","""Training timelines imply IOC by Q4."""
